user_id,Gender,AGE,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19,Feature 20,Feature 21,Feature 22,Feature 23,Feature 24,Feature 25,Feature 26,Feature 27,Feature 28,Feature 29,Feature 30,Feature 31,Feature 32,Feature 33,Feature 34,Feature 35
1,Female,From 35 to 44 ,165,35,16,14,,,3,3,5,5,4814049,4814049,,,581060,581060,1147499,1147499,,193686.6667,229499.8,315065,8,5,5,12,12,22,6,6,NO,,7,7,347271.4286
2,Female,From 25 to 34 ,118,3,16,16,3,3,11,11,12,12,6463312,6463312,1009520,1009520,4813132,4813132,5427082,5427082,336506.6667,437557.4545,452256.8333,207300,9,18.41666667,18.41666667,3,3,10,0,0,NO,366666.6667,6,7,460000
3,Nam,From 35 to 44 ,256,37,34,26,,,3,3,4,4,12351391,9766450,,,902190,902190,1202980,1202980,,300730,300745,308930,20,9,9,3,3,9,2,0,NO,150000,7,9,384637.6667
4,Nam,From 25 to 34 ,261,1,252,12,3,3,12,4,17,4,31716999,5631025,2364000,2364000,4197488,2922000,5518287,2922000,788000,730500,730500,300000,12,60.2,23.1875,18,6,9,5,8,NO,500000,9,16,291973.3125
5,Female,From 25 to 34 ,216,17,14,12,2,2,7,7,8,8,6866343,5593438,1301374,1301374,3127648,3127648,3646768,3646768,650687,446806.8571,455846,424880,16,12.66666667,12.66666667,1,1,23,1,0,NO,755645.4,7,43,688573.8837
6,Female,From 35 to 44 ,128,30,54,12,5,1,10,3,17,5,26203504,4692103,4481775,575004,7851203,1375603,10824127,2130803,575004,458534.3333,426160.6,339450,21,13,16.2,5,2,17,6,0,NO,392500,7,7,457142.8571
7,Female,From 35 to 44 ,183,3,18,14,7,4,11,8,15,11,6834950,5445413,2737574,1666099,4118494,3047019,5403126,4013589,416524.75,380877.375,364871.7273,358000,30,14,14.13333333,10,6,12,1,0,NO,,8,2,200000
8,No infor,No infor,123,18,15,15,2,2,3,3,6,6,5749934,5749934,820460,820460,1421750,1421750,2692994,2692994,410230,473916.6667,448832.3333,226600,5,13.66666667,13.66666667,6,6,15,1,0,NO,200000,7,3,341666.6667
9,Female,From 35 to 44 ,40,10,20,16,11,11,20,20,20,20,8742984,8742984,5664830,5664830,8742984,8742984,8742984,8742984,514984.5455,437149.2,437149.2,462155,18,18.22727273,18.22727273,1,1,18,0,0,NO,442551.4118,7,28,405635.1429
10,Female,From 18 to 24 ,169,65,23,21,,,,,3,3,8411765,7745605,,,,,1362700,1362700,,,454233.3333,338100,19,,,2,1,16,40,1,NO,323076.9231,6,55,273775.2364
11,Female,From 35 to 44 ,244,16,29,23,7,7,15,15,18,18,18791380,14751368,4786965,4786965,9192768,9192768,9995568,9995568,683852.1429,612851.2,555309.3333,741900,13,22.35,22.35,3,3,19,2,0,NO,300000,7,3,333333.3333
12,Female,From 35 to 44 ,320,6,34,29,2,2,6,6,6,6,10961500,10961500,880020,880020,2620780,2620780,2620780,2620780,440010,436796.6667,436796.6667,332400,6,11.875,11.875,6,6,22,1,1,NO,,4,,
13,Female,From 35 to 44 ,88,2,54,19,4,4,14,12,21,19,17480548,8661700,1920520,1920520,6265005,5606085,9320620,8661700,480130,467173.75,455878.9474,308150,14,18.42857143,17.875,2,0,10,10,0,NO,,7,,
14,Female,From 25 to 34 ,310,25,14,14,1,1,6,6,11,11,4627455,4627455,524995,524995,2133970,2133970,3647625,3647625,524995,355661.6667,331602.2727,343750,12,11,11,0,0,9,0,0,NO,,4,,
15,Female,From 35 to 44 ,235,3,71,55,8,8,14,14,23,23,30110920,28541179,3449284,3449284,6391114,6391114,11391974,11391974,431160.5,456508.1429,495303.2174,232600,7,14.1875,14.1875,20,16,8,9,0,NO,500000,8,3,232033.3333
16,Female,From 25 to 34 ,184,27,19,16,2,1,5,3,8,6,7842130,7082045,738104,540600,2028975,1268890,3410475,2650390,540600,422963.3333,441731.6667,406600,10,18.33333333,15.2,5,5,16,0,1,NO,,4,,
17,Nam,From 25 to 34 ,195,1,12,12,2,2,5,5,8,8,6440360,6440360,1723400,1723400,2650930,2650930,4766210,4766210,861700,530186,595776.25,186600,21,17,17,2,2,2,1,2,NO,,4,,
18,Female,From 35 to 44 ,170,8,15,14,2,2,4,4,6,6,4913368,4913368,1042800,1042800,1707530,1707530,2338598,2338598,521400,426882.5,389766.3333,307050,7,18,18,5,5,16,4,10,NO,600000,6,22,732528.9091
19,No infor,From 25 to 34 ,154,5,15,15,2,2,6,6,9,9,5721895,5721895,1011730,1011730,2422450,2422450,3308630,3308630,505865,403741.6667,367625.5556,300500,9,8.375,8.375,5,5,10,6,0,NO,,3,9,347236.6667
20,Nam,Trên 55 ,160,6,30,30,9,9,22,22,29,29,11949670,11949670,4199335,4199335,8598355,8598355,11716460,11716460,466592.7778,390834.3182,404015.8621,473390,11,11.39130435,11.39130435,0,0,9,0,1,NO,,4,8,500000
21,Nam,From 45 to 54 ,105,1,12,12,5,5,8,8,10,10,5534195,5534195,2673900,2673900,3890995,3890995,4686595,4686595,534780,486374.375,468659.5,757400,39,12.125,12.125,2,2,8,2,0,NO,4000000,8,10,1440956.7
22,Female,From 45 to 54 ,145,2,19,19,6,6,12,12,14,14,9903210,9903210,2799650,2799650,5303870,5303870,5992520,5992520,466608.3333,441989.1667,428037.1429,374300,9,21.08333333,21.08333333,3,3,16,2,2,NO,340769.2308,8,59,224064.9661
23,Female,From 35 to 44 ,340,2,54,46,5,5,18,18,31,31,24547510,24547510,2490890,2490890,6606700,6606700,11464970,11464970,498178,367038.8889,369837.7419,364600,11,21.3,21.3,7,7,14,1,1,NO,,6,3,1166666.667
24,Female,From 45 to 54 ,139,1,59,21,3,3,12,12,16,16,15545868,7204685,1259400,1259400,4168135,4168135,5332145,5332145,419800,347344.5833,333259.0625,217300,8,14.57142857,14.57142857,13,3,9,6,2,NO,362500,10,25,258121.88
25,Female,From 35 to 44 ,338,1,210,22,1,1,2,2,2,2,68734262,8380625,312285,312285,734985,734985,734985,734985,312285,367492.5,367492.5,159000,1,16,16,37,9,12,17,2,NO,,3,,
26,No infor,From 25 to 34 ,326,4,19,17,1,1,1,1,3,3,5061580,5061580,486600,486600,486600,486600,1411300,1411300,486600,486600,470433.3333,222100,12,21,21,0,0,8,0,0,NO,,4,1,10000
